1,0,3.43736801,101.3,0,1.53,60,0,0,0,0.0179829764
1,1,2.81297646,101.3,0,1.27,60,0,0,0,0.0044880711
1,2,2.6,101.3,0,2.21,60,0,0,0,0
1,3,2.812952692,101.3,0,1.08,60,0,0,0,0.0044880635
1,4,3.437322095,101.3,0,1.15,60,0,0,0,0.017982918
1,5,4.430558268,101.3,0,1.89,60,0,0,0,0.0419256521
1,6,5.724973491,101.3,0,1.96,60,0,0,0,0.078009043
1,7,7.232355097,101.3,0,0.25,60,0,0,0,0.1283044275
1,8,8.849977042,101.3,0,1.75,60,107.8759508333,48.544177875,221.8468928888,0.1932643102
1,9,10.46760055,101.3,0,2.31,60,230.0444227778,103.51999025,473.0863554425,0.271221201
1,10,11.97498675,101.3,0,1.03,60,323.7875880556,145.704414625,665.8691748363,0.3571812316
1,11,13.26940927,101.3,0,2.43,60,382.7170055556,172.2226525,787.057521925,0.4422124144
1,12,14.26265495,101.3,0,2.43,60,402.8167322222,181.2675295,828.392609815,0.5156289416
1,13,14.88703542,101.3,0,1.7,60,382.7170055556,172.2226525,787.057521925,0.5656415327
1,14,15.1,101.3,0,1.47,60,323.7875880556,145.704414625,665.8691748363,0.5837522596
1,15,14.88703542,101.3,0,1.53,60,230.0444227778,103.51999025,473.0863554425,0.5656415327
1,16,14.26265495,101.3,0,1.84,60,107.8759508333,48.544177875,221.8468928888,0.5156289416
1,17,13.26940927,101.3,0,0.23,60,0,0,0,0.4422124144
1,18,11.97498675,101.3,0,2.53,60,0,0,0,0.3571812316
1,19,10.46760055,101.3,0,2.96,60,0,0,0,0.271221201
1,20,8.849977042,101.3,0,1.85,60,0,0,0,0.1932643102
1,21,7.232355097,101.3,0,2,60,0,0,0,0.1283044275
1,22,5.724973491,101.3,0,2.24,60,0,0,0,0.078009043
1,23,4.430558268,101.3,0,1.15,60,0,0,0,0.0419256521
2,0,2.997658507,101.3,0,1.18,60,0,0,0,0.0174314354
2,1,2.328310765,101.3,0,1.08,60,0,0,0,0.0043357837
2,2,2.1,101.3,0,2.21,60,0,0,0,0
2,3,2.328285286,101.3,0,1.66,60,0,0,0,0.0043357759
2,4,2.997609286,101.3,0,2.25,60,0,0,0,0.0174313745
2,5,4.062358463,101.3,0,1.63,60,0,0,0,0.0408552463
2,6,5.449971582,101.3,0,1.45,60,0,0,0,0.0765329323
2,7,7.065884664,101.3,0,1.78,60,0,0,0,0.1268479119
2,8,8.79997539,101.3,0,1.26,60,112.5518308333,50.648323875,231.4628401088,0.1926116602
2,9,10.53406779,101.3,0,1.88,60,239.1497866667,107.617404,491.81153628,0.2724270126
2,10,12.14998579,101.3,0,0.75,60,336.2918144444,151.3313165,691.584116405,0.3613246527
2,11,13.53760673,101.3,0,1,60,397.3578461111,178.81103075,817.1664105275,0.4500135501
2,12,14.6023661,101.3,0,1.66,60,418.1863325,188.183849625,860.0001927863,0.5270824388
2,13,15.27170197,101.3,0,1.15,60,397.3578461111,178.81103075,817.1664105275,0.5798155748
2,14,15.5,101.3,0,0.53,60,336.2918144444,151.3313165,691.584116405,0.598943839
2,15,15.27170197,101.3,0,2.01,60,239.1497866667,107.617404,491.81153628,0.5798155748
2,16,14.6023661,101.3,0,0.67,60,112.5518308333,50.648323875,231.4628401088,0.5270824388
2,17,13.53760673,101.3,0,1.27,60,0,0,0,0.4500135501
2,18,12.14998579,101.3,0,1.86,60,0,0,0,0.3613246527
2,19,10.53406779,101.3,0,1.73,60,0,0,0,0.2724270126
2,20,8.79997539,101.3,0,0.93,60,0,0,0,0.1926116602
2,21,7.065884664,101.3,0,1.41,60,0,0,0,0.1268479119
2,22,5.449971582,101.3,0,0.67,60,0,0,0,0.0765329323
2,23,4.062358463,101.3,0,1.6,60,0,0,0,0.0408552463
3,0,3.137852172,101.3,0,0.41,60,0,0,0,0.0206674908
3,1,2.438533635,101.3,0,0.6,60,0,0,0,0.0050983452
3,2,2.2,101.3,0,1.3,60,0,0,0,0
3,3,2.438507016,101.3,0,1.74,60,0,0,0,0.0050983355
3,4,3.137800747,101.3,0,1.5,60,0,0,0,0.0206674155
3,5,4.25022526,101.3,0,1.27,60,0,0,0,0.0488500514
3,6,5.69997031,101.3,0,1.68,60,0,0,0,0.0916162421
3,7,7.388237709,101.3,0,1.38,60,0,0,0,0.1523244641
3,8,9.199974288,101.3,0,0.45,60,116.0866325,52.238984625,238.7321597363,0.2328087149
3,9,11.01171262,101.3,0,0.75,60,245.7076030556,110.568421375,505.2976856838,0.3311700037
3,10,12.69998515,101.3,0,1.69,60,345.1692719444,155.326172375,709.8406077538,0.4407329697
3,11,14.14973838,101.3,0,1.84,60,407.6934908333,183.462070875,838.4216638988,0.5506241744
3,12,15.26217354,101.3,0,0.35,60,429.0193375,193.058701875,882.2782675688,0.6471223333
3,13,15.96147967,101.3,0,1.34,60,407.6934908333,183.462070875,838.4216638988,0.7130637835
3,14,16.2,101.3,0,1.59,60,345.1692719444,155.326172375,709.8406077538,0.7368992631
3,15,15.96147967,101.3,0,2.24,60,245.7076030556,110.568421375,505.2976856838,0.7130637835
3,16,15.26217354,101.3,0,1.25,60,116.0866325,52.238984625,238.7321597363,0.6471223333
3,17,14.14973838,101.3,0,1.27,60,0,0,0,0.5506241744
3,18,12.69998515,101.3,0,2.04,60,0,0,0,0.4407329697
3,19,11.01171262,101.3,0,1.86,60,0,0,0,0.3311700037
3,20,9.199974288,101.3,0,1.88,60,0,0,0,0.2328087149
3,21,7.388237709,101.3,0,2.8,60,0,0,0,0.1523244641
